symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2016-06-10 00:00:00+00:00,218.79,227.97,218.4217,227.39,6026603,218.79,227.97,218.4217,227.39,6026603,0.0,1.0
TSLA,2016-06-13 00:00:00+00:00,217.87,225.77,217.66,219.5,4193022,217.87,225.77,217.66,219.5,4193022,0.0,1.0
TSLA,2016-06-14 00:00:00+00:00,214.96,222.2,212.53,218.88,3580167,214.96,222.2,212.53,218.88,3580167,0.0,1.0
TSLA,2016-06-15 00:00:00+00:00,217.7,221.9,215.13,216.95,2908522,217.7,221.9,215.13,216.95,2908522,0.0,1.0
TSLA,2016-06-16 00:00:00+00:00,217.93,218.04,213.5,217.42,2440259,217.93,218.04,213.5,217.42,2440259,0.0,1.0
TSLA,2016-06-17 00:00:00+00:00,215.47,219.99,214.5,217.81,3112620,215.47,219.99,214.5,217.81,3112620,0.0,1.0
TSLA,2016-06-20 00:00:00+00:00,219.7,223.75,218.23,219.5,3555471,219.7,223.75,218.23,219.5,3555471,0.0,1.0
TSLA,2016-06-21 00:00:00+00:00,219.61,222.569,218.81,220.68,4529005,219.61,222.569,218.81,220.68,4529005,0.0,1.0
TSLA,2016-06-22 00:00:00+00:00,196.66,205.95,195.75,199.47,23742414,196.66,205.95,195.75,199.47,23742414,0.0,1.0
TSLA,2016-06-23 00:00:00+00:00,196.4,197.55,192.13,195.69,10130748,196.4,197.55,192.13,195.69,10130748,0.0,1.0
TSLA,2016-06-24 00:00:00+00:00,193.15,195.12,189.73,190.05,7026516,193.15,195.12,189.73,190.05,7026516,0.0,1.0
TSLA,2016-06-27 00:00:00+00:00,198.55,198.81,187.87,190.86,7220323,198.55,198.81,187.87,190.86,7220323,0.0,1.0
TSLA,2016-06-28 00:00:00+00:00,201.79,204.05,199.41,201.89,6212422,201.79,204.05,199.41,201.89,6212422,0.0,1.0
TSLA,2016-06-29 00:00:00+00:00,210.19,211.78,203.0,205.13,5994908,210.19,211.78,203.0,205.13,5994908,0.0,1.0
TSLA,2016-06-30 00:00:00+00:00,212.28,213.4999,209.02,212.97,4843111,212.28,213.4999,209.02,212.97,4843111,0.0,1.0
TSLA,2016-07-01 00:00:00+00:00,216.5,218.24,206.0,206.14,5399951,216.5,218.24,206.0,206.14,5399951,0.0,1.0
TSLA,2016-07-05 00:00:00+00:00,213.98,214.5441,208.0,209.73,5175345,213.98,214.5441,208.0,209.73,5175345,0.0,1.0
TSLA,2016-07-06 00:00:00+00:00,214.44,215.23,209.0,210.0,4919855,214.44,215.23,209.0,210.0,4919855,0.0,1.0
TSLA,2016-07-07 00:00:00+00:00,215.94,218.12,213.01,213.1,3612022,215.94,218.12,213.01,213.1,3612022,0.0,1.0
TSLA,2016-07-08 00:00:00+00:00,216.78,219.81,214.5,217.8,4074785,216.78,219.81,214.5,217.8,4074785,0.0,1.0
TSLA,2016-07-11 00:00:00+00:00,224.78,226.78,219.51,219.96,5429823,224.78,226.78,219.51,219.96,5429823,0.0,1.0
TSLA,2016-07-12 00:00:00+00:00,224.65,227.5,223.22,224.1,4576165,224.65,227.5,223.22,224.1,4576165,0.0,1.0
TSLA,2016-07-13 00:00:00+00:00,222.53,225.59,220.29,225.5,3567062,222.53,225.59,220.29,225.5,3567062,0.0,1.0
TSLA,2016-07-14 00:00:00+00:00,221.53,224.94,221.05,223.12,2675834,221.53,224.94,221.05,223.12,2675834,0.0,1.0
TSLA,2016-07-15 00:00:00+00:00,220.4,222.7499,219.64,222.52,2234247,220.4,222.7499,219.64,222.52,2234247,0.0,1.0
TSLA,2016-07-18 00:00:00+00:00,226.25,227.09,218.3,219.64,3412055,226.25,227.09,218.3,219.64,3412055,0.0,1.0
TSLA,2016-07-19 00:00:00+00:00,225.26,229.1,224.75,225.0,3115065,225.26,229.1,224.75,225.0,3115065,0.0,1.0
TSLA,2016-07-20 00:00:00+00:00,228.36,229.8,225.0,226.47,2568498,228.36,229.8,225.0,226.47,2568498,0.0,1.0
TSLA,2016-07-21 00:00:00+00:00,220.5,227.847,219.1,226.0,4428651,220.5,227.847,219.1,226.0,4428651,0.0,1.0
TSLA,2016-07-22 00:00:00+00:00,222.27,224.5,218.88,221.99,2579692,222.27,224.5,218.88,221.99,2579692,0.0,1.0
TSLA,2016-07-25 00:00:00+00:00,230.01,231.39,221.3715,222.27,4490683,230.01,231.39,221.3715,222.27,4490683,0.0,1.0
TSLA,2016-07-26 00:00:00+00:00,229.51,230.0,225.3,227.69,3430042,229.51,230.0,225.3,227.69,3430042,0.0,1.0
TSLA,2016-07-27 00:00:00+00:00,228.49,233.36,226.92,229.34,2889007,228.49,233.36,226.92,229.34,2889007,0.0,1.0
TSLA,2016-07-28 00:00:00+00:00,230.61,230.76,226.6,227.95,2419059,230.61,230.76,226.6,227.95,2419059,0.0,1.0
